"Parent","Asset","District","County","Owner"
"District 3 - Miller","00263","03 - District 3","091 - Miller","01 - State Highway Agency"
"District 3 - Miller","00264","03 - District 3","091 - Miller","01 - State Highway Agency"
"District 3 - Pike","00279","03 - District 3","109 - Pike","04 - City or Municipal Highway Agency"
"District 3 - Pike","00284","03 - District 3","109 - Pike","01 - State Highway Agency"
"District 3 - Pike","00286","03 - District 3","109 - Pike","01 - State Highway Agency"
"District 7 - Calhoun","00305","07 - District 7","013 - Calhoun","01 - State Highway Agency"
"District 7 - Calhoun","00306","07 - District 7","013 - Calhoun","01 - State Highway Agency"
"District 7 - Calhoun","00307","07 - District 7","013 - Calhoun","01 - State Highway Agency"
"District 4 - Scott","00315","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 4 - Scott","00316","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 4 - Scott","00317","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 4 - Scott","00319","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 4 - Scott","00320","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 4 - Scott","00321","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 4 - Scott","00322","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 3 - Howard","00326","03 - District 3","061 - Howard","01 - State Highway Agency"
"District 4 - Sebastian","00329","04 - District 4","131 - Sebastian","01 - State Highway Agency"
"District 4 - Sebastian","00331","04 - District 4","131 - Sebastian","01 - State Highway Agency"
"District 4 - Sebastian","00332","04 - District 4","131 - Sebastian","01 - State Highway Agency"
"District 9 - Boone","00335","09 - District 9","009 - Boone","02 - County Highway Agency"
"District 9 - Marion","00338","09 - District 9","089 - Marion","01 - State Highway Agency"
"District 4 - Sebastian","00348","04 - District 4","131 - Sebastian","01 - State Highway Agency"
"District 4 - Logan","00355","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 4 - Logan","00356","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 8 - Johnson","00358","08 - District 8","071 - Johnson","01 - State Highway Agency"
"District 4 - Logan","00378","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 4 - Logan","00381","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 4 - Logan","00382","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 3 - Sevier","00399","03 - District 3","133 - Sevier","02 - County Highway Agency"
"District 8 - Yell","00406","08 - District 8","149 - Yell","01 - State Highway Agency"
"District 3 - Pike","00410","03 - District 3","109 - Pike","02 - County Highway Agency"
"District 4 - Crawford","00411","04 - District 4","033 - Crawford","01 - State Highway Agency"
"District 4 - Crawford","00412","04 - District 4","033 - Crawford","01 - State Highway Agency"
"District 4 - Crawford","00413","04 - District 4","033 - Crawford","01 - State Highway Agency"
"District 10 - Clay","00431","10 - District 10","021 - Clay","01 - State Highway Agency"
"District 10 - Clay","00432","10 - District 10","021 - Clay","01 - State Highway Agency"
"District 10 - Clay","00433","10 - District 10","021 - Clay","01 - State Highway Agency"
"District 10 - Clay","00434","10 - District 10","021 - Clay","01 - State Highway Agency"
"District 7 - Union","00437","07 - District 7","139 - Union","01 - State Highway Agency"
"District 7 - Union","00438","07 - District 7","139 - Union","01 - State Highway Agency"
"District 3 - Howard","00443","03 - District 3","061 - Howard","01 - State Highway Agency"
"District 3 - Howard","00444","03 - District 3","061 - Howard","01 - State Highway Agency"
"District 3 - Howard","00446","03 - District 3","061 - Howard","01 - State Highway Agency"
"District 4 - Crawford","00450","04 - District 4","033 - Crawford","01 - State Highway Agency"
"District 4 - Crawford","00451","04 - District 4","033 - Crawford","01 - State Highway Agency"
"District 9 - Boone","00452","09 - District 9","009 - Boone","02 - County Highway Agency"
"District 6 - Hot Spring","00454","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Hot Spring","00455","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Hot Spring","00456","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 7 - Cleveland","00461","07 - District 7","025 - Cleveland","01 - State Highway Agency"
"District 9 - Marion","00476","09 - District 9","089 - Marion","04 - City or Municipal Highway Agency"
"District 10 - Randolph","00483","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00496","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00497","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00498","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00499","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00500","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00501","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00502","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00503","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00504","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00505","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00506","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00507","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00508","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00509","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00510","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 1 - Cross","00511","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00512","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00513","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00515","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00516","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00517","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00518","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00519","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00520","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00521","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 8 - Faulkner","00534","08 - District 8","045 - Faulkner","01 - State Highway Agency"
"District 7 - Cleveland","00542","07 - District 7","025 - Cleveland","01 - State Highway Agency"
"District 7 - Cleveland","00543","07 - District 7","025 - Cleveland","01 - State Highway Agency"
"District 7 - Cleveland","00544","07 - District 7","025 - Cleveland","01 - State Highway Agency"
"District 10 - Poinsett","00573","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 10 - Poinsett","00574","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 10 - Poinsett","00579","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 10 - Poinsett","00581","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 10 - Poinsett","00582","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 9 - Newton","00585","09 - District 9","101 - Newton","01 - State Highway Agency"
"District 9 - Newton","00586","09 - District 9","101 - Newton","01 - State Highway Agency"
"District 10 - Poinsett","00599","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 4 - Crawford","00609","04 - District 4","033 - Crawford","01 - State Highway Agency"
"District 5 - Jackson","00612","05 - District 5","067 - Jackson","01 - State Highway Agency"
"District 7 - Ouachita","00619","07 - District 7","103 - Quachita","01 - State Highway Agency"
"District 7 - Ouachita","00620","07 - District 7","103 - Quachita","01 - State Highway Agency"
"District 7 - Ouachita","00621","07 - District 7","103 - Quachita","01 - State Highway Agency"
"District 7 - Union","00639","07 - District 7","139 - Union","27 - Railroad"
"District 7 - Clark","00657","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 6 - Hot Spring","00658","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
